# --------------------------
# SLC TS  : 0123456789
# PRJ CFG : BA3
# SIM TS  : 0 fs
# --------------------------
ToA,event,sl_pos,busy,process_ch,tcoverflow,nmtc_sl,nmtc_mdt,nslc,bcid,slcid,tcsent,poseta,posphi,sl_pt,sl_ptthresh,sl_charge,cointype,crc,fiberid,slid,comma,phimod,nswseg_angdtheta,nswseg_posphi,nswseg_poseta
2930,116,4,1,2,0,1,7,7,23,0,1,3398,61,0,4,0,5,255,15,63,255,33,0,0,0
3250,33,4,1,1,0,1,7,7,33,0,1,1640,56,0,4,1,5,255,15,63,255,18,0,0,0
3506,85,4,1,0,0,1,7,7,41,0,1,2691,49,0,4,1,5,255,15,63,255,-3,0,0,0
6066,3,4,1,2,0,1,7,7,121,0,1,4251,59,0,4,0,3,255,15,63,255,27,0,0,0
8722,141,4,1,1,0,1,7,7,204,0,1,664,41,0,4,1,5,255,15,63,255,-27,0,0,0
10514,51,4,1,2,0,1,7,7,260,0,1,1116,51,0,4,0,5,255,15,63,255,3,0,0,0
10706,0,4,1,0,0,1,7,7,266,0,1,3710,54,0,4,0,3,255,15,63,255,12,0,0,0
10802,138,4,1,0,0,1,7,7,269,0,1,1540,47,0,4,1,2,255,15,63,255,-9,0,0,0
11186,9,4,1,0,0,1,7,7,281,0,1,104,36,0,4,0,4,255,15,63,255,-42,0,0,0
11442,115,4,1,0,0,1,7,7,289,0,1,961,36,0,4,0,2,255,15,63,255,-42,0,0,0
11858,50,4,1,1,0,1,7,7,302,0,1,869,65,0,4,0,2,255,15,63,255,45,0,0,0
13618,86,4,1,2,0,1,7,7,357,0,1,2893,54,0,4,1,5,255,15,63,255,12,0,0,0
13778,32,4,1,0,0,1,7,7,362,0,1,1337,51,0,4,0,5,255,15,63,255,3,0,0,0
13874,15,4,1,0,0,1,7,7,365,0,1,2750,61,0,4,1,5,255,15,63,255,33,0,0,0
14290,148,4,1,0,0,1,7,7,378,0,1,3620,54,0,4,0,5,255,15,63,255,12,0,0,0
15442,119,4,1,1,0,1,7,7,414,0,1,2604,47,0,4,1,5,255,15,63,255,-9,0,0,0
18642,101,4,1,2,0,1,7,7,514,0,1,2076,61,0,4,1,5,255,15,63,255,33,0,0,0
19186,118,4,1,1,0,1,7,7,531,0,1,2167,61,0,4,0,5,255,15,63,255,33,0,0,0
19218,44,4,1,0,0,1,7,7,532,0,1,215,48,0,4,0,4,255,15,63,255,-6,0,0,0
21074,54,4,1,0,0,1,7,7,590,0,1,2440,59,0,4,0,5,255,15,63,255,27,0,0,0
22130,12,4,1,2,0,1,7,7,623,0,1,2760,51,0,4,0,5,255,15,63,255,3,0,0,0
23122,90,4,1,1,0,1,7,7,654,0,1,3768,43,0,4,1,5,255,15,63,255,-21,0,0,0
23410,55,4,1,0,0,1,7,7,663,0,1,4255,49,0,4,0,3,255,15,63,255,-3,0,0,0
